,level,level_name,field_of_study,academic_field,academic_field_imputed
359,bachelor,bachelor,"bachelor of business management bbm, marketing",business management,business management
360,bachelor,bachelor,"bachelor of business management, business administration and management, general",business management,business management
361,bachelor,bachelor,"bachelor of business management bbm, finance",finance,finance
362,bachelor,bachelor,"bachelor of business management bbm, finance major",business,business
363,bachelor,bachelor,"bachelor of business management bbm, marketing and finance",business management,business management
364,bachelor,bachelor,"bachelor of business management honours, marketing and corporate communications",business,business
365,bachelor,bachelor,"bachelor of business management hons, human resource, management and marketing",business management,business management
366,bachelor,bachelor,"bachelor of business management, double majors in finance and corporate communications",business management,business management
367,bachelor,bachelor,"bachelor of business management, investment finance and strategic management, cum laude",business management,business management
368,bachelor,bachelor,"bachelor of business management, marketing",business management,business management
369,bachelor,bachelor,"bachelor of business management, marketing and corporate communications",business management,business management
370,bachelor,bachelor,"bachelor of business management, marketing and operations management",business management,business management
371,bachelor,bachelor,"bachelor of business management, marketing corporate communication",business management,business management
372,bachelor,bachelor,"bachelor of business management, organisational behaviour and human resources",human resources,human resources
373,bachelor,bachelor,"bachelor of business managment, international business",,<NA>
374,bachelor,bachelor,"bachelor of business studies, management",,<NA>
